464364;plazom;Prague;0;0
464370;aftermath-vc;New York City;0;1
464375;mgaunard;London;6;22
467044;port8000;Regensburg / Germany;0;5
467048;GeorgHofmann;Halle; Germany;0;1
467049;mpartipilo;Netherlands;7;7
467056;LJNielsenDk;Aalborg; Denmark;2;8
467058;Scottedont;New Jersey;2;1
467059;gebba;Stockholm; Sweden;5;4
467065;ranthe;Denmark;0;0
467066;StrawMan;Nogi; Japan;1;1
467069;TurboGit;France;13;12
467079;kykl;San Francisco;1;29
467082;robmorrissey;London and Brighton;6;6
467086;steveluo;Shanghai;3;2
467087;0i0;Berlin; Germany;6;16
467096;myid;Denver; CO;0;0
467097;kapooostin;Saint-Petersburg; Russia;4;32
467103;rvkasner;Ukraine; Kharkov;1;1
467112;cadars;Berlin;3;0
467114;wolfgangrittner;St. Plten; Austria; Europe;1;3
467116;shikil;Hong Kong;2;4
467122;Turf;Sweden;2;0
467124;frak;London;11;14
467126;vineus;Paris; FR;14;11
467144;apeshape;Stockholm;5;9
467150;eemubertling;Tampere; Finland;0;1
467151;knelus;Emmen;1;5
467155;lindborg;Copenhagen; Denmark;0;4
467157;546F6E79;Russia; Yekaterinburg;1;2
467159;mlanin;Moscow;4;16
467160;zeilhofe;Munich; Germany;0;1
467161;cpoyraz;Istanbul / Turkey;6;3
467167;gouverney;Brazil;0;1
467168;robkaper;Rotterdam;2;2
467169;ik486;Cochin; India;6;6
467170;peterstyles;Melbourne;2;0
467177;DUGHH;Hamburg; Germany;0;2
467179;bzt;Europe;2;6
467182;mobilenuggets;Vevey; Switzerland;0;5
467183;armdev;Armenia;9;49
467189;wanlinzhu;Australia;0;2
467190;fredsterss;San Francisco;31;48
467199;kalverson;Eden Prairie; MN 55344;1;0
467208;chopeh;Copenhagen;5;1
467213;omero72;Bursa; Turkey;0;3
467215;xDavidLeon;Barcelona;4;7
467227;anetteha;Norway;1;1
467230;chetzof;EU;5;11
467232;bwangila;Nairobi; Kenya;5;2
467237;fournova;Stuttgart; Germany;0;12
467239;berndbaechle;Berlin;0;2
467243;Leapsight;United Kingdom;0;9
467251;ivankravchenko;New York; USA;36;21
467252;jason13;Taipei;0;0
467254;jorgesierra;Montevideo; Uruguay;9;23
467255;PyYoshi;Japan;42;111
467258;leog;Montevideo; Uruguay;9;28
467264;kumaranvram;Chennai; India;17;28
467267;moliveira7;Portugal;6;4
467271;tony2nite;Barcelona; Spain;4;31
467273;laurentdutheil;Paris;0;4
467275;gasbank;South Korea;5;1
467278;SteveFerrell;Eden Prairie; MN;2;0
467280;janosdios;Budapest; Hungary;0;6
467294;bastimeyer;Germany;28;7
467295;pfi;Tokyo;0;8
467298;hlaurent;France;0;2
467303;zlizta;UNNC;3;5
467305;skaasjager;Haarlem; The Netherlands;3;7
467306;ozair-kafray;Karachi; Pakistan;3;1
467314;pvardanega;Lausanne;15;20
467320;adamcyoung;Charlotte; NC;0;2
467326;Fumler;Gjvik;13;15
467331;binarylibrarian;Toronto;1;6
467333;sniperliu;Singapore;2;26
467335;heriman;Pondok Rajeg; Cibinong - Depok - Jakarta;0;8
467340;gurglet;Linkping; Sweden;9;8
467342;youngadam;Toronto - GTA;0;2
467345;Kimnooij;Amsterdam;0;1
467347;SakaiMakoto;Japan;0;0
467356;rdeutz;Aachen; Germany;42;44
467357;crea7or;Saint-Petersburg;1;6
467359;giovanniramos;Cuiaba; Mato Grosso;31;15
467360;krettere;Gaithersburg; MD;0;0
467361;dineshg;Australia;0;0
467370;wprice;Phoenix; AZ;3;17
467373;Lambik;Belgium;0;8
467374;pkol;Warsaw; Poland;0;6
467375;SlainVeteran;Cambridge; UK;0;2
467376;cribaudo;Jersey City; NJ;2;0
467382;paigecook;Atlanta; GA;3;10
467383;phreakazoid21;Waltham; MA;1;5
467390;anaximander;United States;13;32
467395;georgewalther;Argentina;1;5
467399;creamjiang;China;2;142
467403;marciobda;So Paulo;9;3
467408;agungf;Jakarta; Indonesia;8;23
467409;jimbauwens;Belgium;10;5
467411;fideloper;San Antonio; TX;523;61
467413;przybang;Odenton; MD;0;3
467421;DonnieEldridge;Tucson; AZ;0;0
467425;holgerdell;Saarbrcken; Germany;3;2
467429;simplecoder;Las Vegas; NV;0;5
467435;krugerdavid;Encarnacin; Paraguay;11;13
467438;grossman;Brooklyn; NY;1;8
467443;davidklaw;Detroit; MI;12;16
467450;rksm;San Francisco;98;68
467455;techleed;London; ON;0;1
467459;corneliorm;Chilpancingo Guerrero;2;1
467462;sprintstack;Planet Earth;0;4
467467;Y313;Poland;0;3
467468;ninthdivision;Omaha; NE;0;0
467469;mikecx;San Francisco; CA;7;10
467471;cmdalbem;Porto Alegre; Brasil;13;23
467472;joukokar;Yokohama;5;10
467487;kjantzer;Southern Oregon;13;23
467493;DarkFraud;Kirov;0;2
467498;jdewit;Vancouver; BC;69;120
467506;jared-dahl;Eden Prairie; MN; USA;3;1
467521;dziedmaroz;Minsk; Belarus;2;31
467522;bbias;Berlin;0;1
467525;dneary;Lyon; France;3;10
467528;ayumu;Tokyo;0;1
467531;iamviktor;Lviv; Ukraine;5;6
467532;jujucom;France (Niort);0;0
467533;hamhoagie;Brooklyn; NY;4;14
467537;guntars;Riga; Latvia;0;5
467539;bryandeasis;Oshawa; Ontario;0;2
467540;aranno;Paris;0;2
467546;pguegan;Nantes; France;8;14
467549;comtastesrl;Rome; Milan; London;1;0
467552;Pinkilla;La cit des gants;5;11
467554;saidbakr;Egypt;0;15
467558;dmw;Santiago; Chile;25;8
467576;stanlick;St Louis; Missouri;0;5
467577;vargalas;London;0;12
467579;MaxguN;Evry; FR;2;20
467580;crowdscience;San Jose;1;0
467582;jorrizza;Eindhoven;10;19
467588;jvanmetre;Portland OR;3;2
467589;werner77;Amsterdam;30;9
467594;aneag;Cluj-Napoca;0;0
467603;scottsexton;Chicago; IL;15;13
467608;mzagozda;Malta;1;1
467615;masterok;;0;1
467617;ccaum;Portland; OR;30;81
467620;loxy;Dortmund; Germany;3;0
467627;erinspice;Huntsville; AL;38;26
467634;tsatishk;Lake Forest; CA; USA;0;1
467636;okinasevych;Winnipeg; Canada;0;5
467642;bunnyhero;Toronto; ON;7;36
467643;johmathe;San Francisco;9;27
467648;danrickert;Michigan - US;2;0
467655;ankushgoyal;San Francisco;9;22
467657;happyrobots;Somewhere;20;19
467659;mikeabrahamsen;Bozeman; Montana;7;5
467661;THemming;Warwick; UK;2;9
467671;bullium;Cincinnati; OH;0;2
467682;alpascual;Redlands; CA;50;96
467683;Joe8Bit;London; UK;56;121
467687;pedrohr;Palo Alto; CA;15;13
467689;lisarae;Winnipeg; MB; Canada;6;8
467695;jahewson;San Francisco Bay Area;23;40
467709;kpp;The Russian Federation;8;11
467711;tribouille;Toulouse;7;13
467712;heyimjuani;Buenos Aires; Argentina;30;16
467715;NickGaens;Hasselt;1;1
467722;toms972;Israel;0;8
467724;hauptmat;Detroit; Michigan;1;2
467727;technorganix;Columbia; MD;0;0
467728;jordanfbrown;San Francisco; CA;3;16
467729;klaussilveira;So Paulo;261;24
467745;hanksudo;Taipei; Taiwan;72;70
467756;pbadeer;Omaha; NE;28;20
467757;jameywarren;Livingston; Montana;1;2
467759;glennfriesen;California;0;0
467760;alexandrecintra;So Paulo / Brazil;14;3
467761;empeeoh;Boston;4;6
467763;seifscape;Tunis;Tunisia;5;86
467770;WoodyKing;Virginia;0;1
467783;jadeatucker;Mountain View; CA;7;17
467791;hiatta;San Francisco;1;7
467802;marchaefner;Dresden; Germany;1;10
467805;khristoff;Veracruz; Mxico;1;1
467807;RBlafford;New York; NY;4;15
467808;igord;Amsterdam; Netherlands;6;8
467810;shigeta;SF Bay Area;1;2
467811;MildredBlaesing;Brandenburg;2;0
467817;atnightmedia;USA;1;0
467822;charlieholder;Atlanta; GA;8;1
467827;dvingo;New York;21;24
467830;webdigi;London;9;13
467844;japherwocky;Mostly Chicago;13;16
467853;zackkollar;NY; USA;0;7
467854;subrata4096;West Lafayette; Indiana;0;17
467856;homerquan;Hanover; NH;5;80
467858;goleador;San Francisco; CA;1;0
467863;agatakrason;Gliwice;0;11
467867;zoudini;New York; NY;0;2
467869;Eviesays;Nashville; TN;0;0
467872;athal7;Brooklyn; NY;32;68
467875;dgeske;Brooklyn; NY;13;24
467879;Otpipkin;;0;0
467880;maaad;Minsk;0;2
467881;plodyga;Warsaw; Poland;0;2
467883;mrothenberger;Berlin;5;5
467885;cflynn07;San Francisco; CA;21;133
467889;phillijw;Milwaukee; Wi;16;7
467896;timodonnell;NYC;17;14
467899;parkerwest;Lehigh Valley; PA;0;0
467900;zooko;Boulder; CO; USA;62;34
467902;baranga;Berlin;6;18
467911;onovaes;Brazil;4;4
467913;Netrix;Poland;1;15
467916;jonschwartz;MA; USA;1;6
467920;bsanantonio;Oakland; CA;2;9
467922;biondo;Colatina-ES-Brasil;0;5
467927;kanterov;Russia; Novosibirsk;23;32
467928;chipotle;Santa Clara; CA;9;22
467931;gmazza;Arlington VA;17;12
467935;jineshkj;Syracuse; NY; USA.;3;14
467940;mmacdermaid;Chicago;2;2
467943;naomik;CANADA;124;19
467948;iancze;Cambridge; MA; USA;16;31
467951;akozlik;Orlando; FL;12;30
467956;BryanBolivar;Barranquilla-Colombia;3;1
467958;mlalbuquerque;Salvador;50;14
467961;maesenka;Antwerpen;9;45
467962;Gandi;Paris; San Francisco;0;42
467963;kraftvaerk;Denmark; CPH;0;5
467970;rfrank1813;San Francisco;4;2
467977;hipertipo;Rio de Janeiro;0;0
467978;dwyerk;Takoma Park; MD;15;15
467983;nickporjr;Brooklyn; NY;3;14
467984;pixeldust;Bournemouth; UK;1;2
467985;UCF;Orlando; FL;0;118
467990;ExocTBlid;Denver; CO;2;3
467995;ddeepakkumar;Mountain View; CA;0;5
468002;potench;Culver City;18;13
468006;FDiskas;Lithuania;2;17
468007;andrewfurman;nyc;8;24
468008;arodeus;Italy;0;2
468009;michaelspellacy;New York; NY;13;3
468011;pferate;Washington;2;29
468017;barkereducation;Scottsdale; AZ;0;0
468020;danav;Raleigh; NC;0;1
468022;pzeimet;Scottsdale; AZ;0;0
468029;curtisblackwell;Busan; South Korea;16;45
468045;hoetmaaiers;Antwerp; Belgium;11;23
468047;jbolles;Houston; TX;3;1
468054;riddlogic;Los Angeles; CA;0;0
468055;aml88fl;United States;0;0
468058;fjsermu;Spain;3;5
468061;claytonbench;Denver; CO;2;27
468064;wkritzinger;Sydney; Australia;1;3
468066;jmaygarden;Pensacola; FL;5;10
468069;ronanmccoy;Los Angeles; CA;2;4
468072;mikeball;Las Vegas; NV;3;18
468073;kevinkluge;Los Altos; California; USA;20;3
468075;langer123;Ireland;0;0
468085;horeapopa;Romania;4;5
468086;2potatocakes;Melbourne; Australia;2;10
468088;cameronbriar;Fresno;28;27
468091;kaloyan-raev;Sofia; Bulgaria;19;47
468093;bradcerasani;Winnipeg; Manitoba; Canada;33;58
468094;Grumpicus;Austin; TX;2;2
468108;cloudysoft;California;0;0
468112;yaioyaio;seoul;1;88
468117;CloudShopper;Miami; FL;0;1
468122;joshuanguyen;San Francisco;9;4
468124;Adamsimsy;Bath; UK;4;13
468132;bwells;Denver; CO;2;16
468133;kishores;Sunnyvale;6;3
468134;apheage;Arlington;0;0
468136;lukearndt;Melbourne;22;11
468140;jimib;Manchester;1;24
468143;misila;france;0;2
468148;bueller;Brooklyn; NY;13;8
468149;michael-grunder;Chico; CA;34;8
468152;DCPython;Washington; DC; USA;0;9
468154;fmaiocco;Italia;0;0
468157;atekie;United States;0;0
468164;th3hamm0r;Vienna; Austria;4;2
468175;jessiehernandez;Miami; FL;2;5
468177;mwelt;Germany;2;6
468180;YichenWang;Palo Alto;0;0
468182;enluminari;San Francisco Bay Area;0;1
468183;lucienboland;Melbourne;0;0
468185;tomoe;Tokyo;5;10
468190;lucianocampos;Brazil;1;4
468191;ewkratz;San Salvador; El Salvador;0;0
468201;dariob;Italy;31;46
468206;stratparrott;Chattanooga;TN;0;1
468208;dkoepke;San Francisco; CA.;13;10
468209;jojurgens;Oslo;2;2
468211;frcepeda;Mexico City;34;11
468234;akkhare;San Jose;0;1
468238;gegere;Boulder;32;27
468241;goatfish100;Phoenix; az;0;3
468248;ojaber;United States;15;2
468255;nwebs;Karlsruhe;0;11
468261;perfectspr;Dalian;1;63
468263;weymouth;Southampton; UK;5;3
468266;agentbetty;portland;0;1
468272;zidge;Ottawa; Canada;2;8
468274;stroparo;Curitiba - Paran - Brazil;7;4
468277;evanxg852000;Conakry - Guinea;0;11
468282;cbraddoss;Springdale; AR;2;1
468283;narongskml;Thailand;0;0
468290;Remiz;Toronto;1;5
468293;fatiharslan;stanbul;2;0
468294;frozencemetery;Boston; MA;80;59
468298;scottweisman;Chicago; IL;10;51
468309;dwalton76;North Carolina;4;11
468315;doomed999;IL. USA;0;0
468323;vladipus;Russia;0;11
468327;itomic;Melbourne & Perth; Australia;0;1
468338;isoparametric;Tokyo;12;10
468342;jameswangz;Zhuhai;9;28
468343;horixon;San Francisco;5;10
468345;vadimpanin;Moscow; Russia;1;6
468354;frugardc;New York City; NY;1;30
468359;liilipooh;California | 92555;0;1
468360;jackhsieh;Taipei; Taiwan;2;7
468366;Makc666;MSK-RU;0;0
468368;koron;Tokyo; Japan;181;197
468369;mfields;Portland; Oregon; USA;273;24
468373;kyawlinoo;Singapore;1;3
468379;digidanny;Nashville; TN;7;15
468380;alltry;Capo da Canoa / RS / Brasil;0;0
468391;mladenw;US;0;2
468395;frost-nzcr4;Ururu;12;44
468396;mintindeed;Los Angeles; CA;6;22
468398;pschwartz;Davie; Fl;7;48
468399;devinfd;Lafayette; CA;2;5
468400;Japanuspus;Singapore; Denmark; UK; Switzerland;3;9
468411;chiradeep;Cupertino;CA;9;16
468417;sandmansandine;Albuquerque; NM;1;8
468420;skyyan;Shanghai; China;0;0
468422;lixinchn;BeiJing;1;6
468425;txgemini;Sugar Land; TX;0;0
468426;loarabia;Redmond; Washington;17;13
468440;comthief;Seoul;0;1
468442;x7;Atlanta; GA; USA;0;4
468445;blue-cat;Peking;0;4
468451;wengyuli;Zhengzhou . China;6;7
468457;corygo;Bay Area;0;3
468460;qcoke;;2;8
468461;jamescooper;Cupertino;0;6
468475;mutt;Sydney;0;1
468477;alexander-yakushev;Kiev; Ukraine;109;29
468479;jordanbrown;San Francisco; CA;26;27
468480;efruchter;Los Angeles; CA;9;25
468482;ndesai;California;11;15
468489;mouhong;Xiamen; China;29;8
468494;eomjinyoung;SOUTH KOREA;88;33
468496;wmira;Singapore;31;47
468501;CIRCL;Luxembourg;0;42
468503;Mwalavu;Nairobi;0;3
468509;Kingson;China;30;45
468514;nevillelyh;Brooklyn; NY;59;37
468519;rowandavies;Sydney; Australia;12;2
468521;jufickel;Germany;2;10
468522;chiendv;Vit Nam;0;9
468524;sirion;Heidelberg;12;4
468526;ruuts;The Netherlands;0;29
468527;reeset;Columbus; OH;22;16
468541;dimaromanenko;Kiev;0;18
468559;craigcitro;Seattle; WA;309;55
468560;perise;Shanghai;0;7
468562;Tioneb90;Lyon;0;1
468563;clementhadrot;Strasbourg;0;6
468564;stackng;Taipei;1;3
468565;vikrampawar;London;1;4
468572;fbielejec;Leuven Belgium;11;17
468575;leifbladt;Freiburg; Germany;10;21
468579;splitice;Melbourne; Australia;20;150
468581;vilewish;Belarus; Minsk;1;0
468583;Zilorent;Ukraince;2;6
468590;virtser;Tel-Aviv; Israel;8;17
468592;huunguyen;vietnam;0;1
468597;h0arry;Moorhusen;7;9
468611;nexiles;Weingarten; Germany;0;75
468617;wangtianthu;San Francisco;16;2
468620;krampstudio;Thionville; France;51;55
468622;Flyflo;France;4;4
468627;Kris2510;Stuttgart; Germany;0;8
468634;jottinger;North Carolina;9;70
468636;iworks;Poland;12;13
468637;martin-froehlich;Bielefeld; Germany;0;0
468638;chrisweight;Plymouth; UK;3;3
468640;ruSunrise;Russia; Ekaterinburhg;0;4
468642;Shambou;Sarajevo;2;6
468643;mikeybeck;NZ;17;22
468654;gpbonifazi;Barcelona; Spain;5;7
468655;yviktorov;Ukraine;0;9
468659;tokuzfunpi;Taiwan;0;3
468660;TheHmmka;;1;2
468664;ekd123;Shaanxi; China;47;14
468669;damiansb;So Carlos - SP - Brazil;2;4
468673;daviddutch;Fribourg; Switzerland;0;7
468674;micsch;Sandvika; Norway;2;6
468675;jhausherr;Hamburg;0;0
468680;gordonchristie;Edinburgh; Scotland;1;7
468681;jonzuo;Guangzhou;1;2
468689;shwashbuckle;Adelaide; South Australia;0;1
468691;blimeycreative;Nottingham;1;12
468692;pierrelevy;Paris; France;7;7
468698;rukkal;Switzerland;0;3
468701;glp;Vienna;2;1
468706;fspillner;Mnchen;8;20
468709;bazaha;China;2;17
468715;GMcD;London; United Kingdom;2;21
468717;jeremysingy;Switzerland;1;4
468720;dargad;Wrocaw; Poland;0;14
468721;haylax;Istanbul Turkey;2;5
468727;hammacher;Saarbrcken; Germany;6;8
468730;vskram21;India;0;5
468737;Buttyx;Zrich;4;9
468739;WW3;Israel; Tel Aviv;1;46
468741;npalmqvist;Stockholm; SWEDEN;7;7
468744;msdundar;Linkping/Sweden;60;17
468748;Sandyman;Balcatta; WA;0;8
468751;alvarolopez;Spain;8;41
468752;diablero13;Ukraine; Kiev;2;12
468758;nseveridt;Jacksonville Beach; FL;1;1
468768;bjuvensjo;Stockholm;9;16
468769;f26e;Darmstadt; Germany;0;0
468770;daerty0153;Bangalore;0;4
468774;oyvindbo;Oslo; Norway;6;0
468776;julesce;Port Elizabeth; South Africa;7;24
468779;yesdevnull;Perth; Australia;19;25
468786;elost;Russia; Kazan;1;6
468787;DanielChu;Sydney; Australia;0;9
468790;koodaamo;Helsinki; Finland;0;77
468792;dreamadict;Chicago;0;3
468793;Legba;Norway;0;1
468794;matheusjardimb;Porto Alegre; Brazil;8;19
468796;Shtian;Oslo;2;17
468801;namad;Kiev; Ukraine;2;3
468807;mgdelcar;Raleigh; NC;0;1
468815;jsantiago;Chicago; IL;3;31
468816;Rochet2;Finland;41;33
468819;lucasgomes;So Paulo; SP;0;3
468820;fbrnc;San Francisco;437;66
468822;ninsen;London;11;19
468833;cea2k;Santiago; Chile;7;27
468834;roothahn;germany;0;1
468837;diegollarrull;New York;7;5
468838;akmurray;Texas;4;6
468842;rolfanders;Trondheim; Norway;0;11
468844;pidodo;XingNing GuangDong China;5;25
468847;carl0s;Rome;6;20
468851;schaefer0;Off route 40; Westford MA;0;3
468856;mahimahi42;USA;6;38
468858;alekseypechenin;Russia;0;5
468861;davidmat;Brussels; Belgium;1;4
468871;mfiguiere;San Francisco;16;0
468873;ickard;Stockholm; Sweden;1;2
468876;webair;Bern; Switzerland;15;13
468881;hoxnox;Moscow;0;32
468889;pixelscript;Teesside;4;17
468894;JoakimAndersen;Kongsvinger; Norway;1;2
468897;DougOpheim;Eden Prairie; MN;2;0
468898;misli;Czech republic;5;37
468901;Sliborskii;Belarus; Minsk;0;0
468903;njess;San Francisco; CA;2;1
468904;dmbryson;San Jose; CA;9;4
468908;Astrum-Solar;Annapolis Junction; MD;0;0
468914;devosoft;Michigan State University; East Lansing; MI;0;4
468916;DonaldSayers;Chattanooga;4;2
468917;REMitchell;Needham; MA;113;14
468928;tribhuvanesh;Zrich;11;15
468930;jonmike;Dakar; Senegal.;0;2
468935;peripecio;Madrid (Spain);5;10
468940;oscarkilhed;Stockholm; Sweden;6;9
468941;michaelis;Lisbon; Portugal;0;3
468944;LennartSchlieder;Germany;1;1
468948;aceofaces;St. Paul; MN; USA;0;2
468949;luenemam;Lrrach - Germany;0;5
468950;lubomyr;Lviv; Ukraine;5;17
468951;Rroia;Germany;2;1
468954;No5251;Stuttgart; Germany;15;19
468961;ashrobbins;Bournemouth; UK;5;3
468962;chriskiefer;Brighton;24;8
468968;keath;Reno; NV;0;0
468974;tomnewton;London; UK;11;23
468985;diegokogan;Buenos Aires; Argentina;2;7
468989;bujurulu;Bogot Colombia;0;2
468996;willcroft;London;1;0
468997;Schwaguy;West Chester; PA;0;0
469001;kbsoft-com-kw;Kuwait;0;0
469005;mfkahn;Ottawa; Ontario; Canada;1;9
469008;tomingtoming;Tokyo; Japan;3;22
469015;sposborne;Massachusetts;0;6
469017;nahoj;Sophia Antipolis; France;1;7
469019;conradical;Atlanta;0;0
469020;devasiajoseph;Bangalore; India;0;20
469029;rie;Germany;0;3
469040;bsadler;Windsor;0;0
469042;yurytom;London;1;0
469044;morenosan;Mallorca;10;2
469046;nesteruk;Barcelona; Spain;108;13
469047;fulax;GrandLyon; France;2;3
469050;gov20cto;San Francisco; CA;10;5
469051;BeDigital;NYC;0;2
469054;rohanmahy;Santa Cruz; CA;0;1
469057;Granicus;San Francisco;0;57
469058;mickaelistria;Grenoble; France;20;89
469061;Hooace;Tampere Finland;0;1
469062;awwakum;Schleswig; Germany;0;13
469068;dswalker;Long Beach; CA;21;3
469069;mcgwier;Austin; Texas;8;13
469071;epicbagel;Bath; UK;5;33
469075;eboyko;Moscow; Russia;0;4
469082;garrettux;ATL;5;20
469092;randombit;Vermont;41;17
469095;clinker;Chengdu;3;2
469097;brian-ewell;Portland; Oregon;1;0
469106;Farmhouse121;New York; NY;0;0
469107;patrikm;Gteborg;2;0
469113;antoniofilho;So Paulo - SP;9;8
469114;funluiji;Bulgaria;3;6
469120;anroots;Estonia;20;60
469127;rssntn67;Caserta (Italy);4;6
469145;noug;Das Internet;0;4
469151;gcorral;Leganes;0;11
469155;richardpl;Croatia;10;10
469156;jacoboliver;New York; NY;23;4
469161;CrazyPyro;Michigan; USA;6;31
469165;robfuller;Austin ;0;6
469171;fabiorusso;Ribeiro Preto;2;19
469175;rhuber;Earth;0;0
469179;jiadar;San Francisco;0;1
469182;scrip-safe;Cincinnati; OH;0;2
469183;carsongross;Sacramento; CA;29;51
469184;aintai;TOKIO;0;0
469192;danbarua;United Kingdom;19;89
469196;alancrisp;UK;9;6
469199;diegoferigo;Italy;10;9
469205;illandril;Rochester; NY; USA;2;7
469209;dsaliberti;London;8;7
469211;swicklund;Omaha;10;2
469220;tablazines;US;0;0
469228;mwsealey;Austin; TX;3;7
469230;sfate;Ukraine; Krarkiv;18;50
469232;genesi;Washington; D.C.;0;56
469234;aaronbbrown;Saratoga Springs; NY;18;47
469245;jinshansi;Cleveland Ohio; USA;0;1
469246;fmerinocasallo;Zaragoza; Spain;1;5
469249;MikeToner;Arlington; VA;2;3
469257;serkanaltuntas;Turkey;22;29
469262;mhourahine;Toronto; Canada;5;18
469263;SendDerek;Bozeman; MT;0;3
469264;fasaxc;London; UK;9;24
469270;edwinhuertas;Richmond; VA;8;0
469272;doellerbe;New Jersey;5;9
469276;andreamoruno;Cochabamba; Bolivia;1;2
469278;jbergen;NYC;19;11
469283;reidransom;New York City; NY;4;30
469286;jasonlau;USA;5;18
469287;borxa;Espaa;0;8
469295;shitalshinde;Raleigh;0;0
469296;alcelyo;Joo Pessoa / P;0;2
469297;MKodak;Denver; CO;2;0
469299;umbel;Austin; TX;0;1
469303;land0;United States;0;4
469304;aleyda;Brussels; Belgium;1;0
469305;narnaud;Limoges;0;9
469306;discgolfer1138;Golden; CO;4;26
469308;xboard;So Paulo;4;12
469311;Craige;Ontario; Canada;7;8
469312;gwu;San Francisco; CA;17;20
469316;fhunleth-lkc;Gaithersburg; MD;2;5
469318;lkc;Gaithersburg; MD;0;5
469320;flxf;New York; New York;28;20
469321;saad-ahmed;Washington; DC ;8;14
469327;ghibble;Global;1;2
469329;yvangodard;Montpellier (France);2;44
469332;ataugeron;New York City;40;7
469340;Sazaju;France;6;9
469341;mohammed4118;Manosque (France);0;2
469348;agacode;Norcross; GA;1;7
469353;steven-s;Livermore; CA;16;15
469360;aghaliaraza;UK;0;5
469363;ScottBlew;San Francisco; CA;3;7
469365;zbjornson;San Francisco;17;24
469371;skeydan;Munich; Germany;2;13
469372;sonnyfromtacoma;Tacoma; Washington;0;3
469373;rubyfu;@Rubyfu;0;3
469374;Freeseer;Ottawa; Canada;0;4
469375;Tidwell;New York City;8;64
469379;cloud9s;san francisco;2;0
469384;JulianSchutsch;Germany; Munich;2;15
469387;nlake44;Santa Barbara;23;12
469388;aleksey-hariton;Minsk; Belarus;2;7
469393;karlomikus;Zagreb; Croatia;3;14
469397;fdeniz;Istanbul;4;7
469399;tdensmore;Atlanta; Ga. United States;0;5
469403;funkyeah;Minnesota;5;26
469410;marcelk;The Netherlands;4;5
469412;achiinto;Hong Kong;1;14
469414;bertagzlz;Spain;0;11
469423;danielbwa;Amsterdam;1;3
469424;alexkiko;New York City;3;6
469435;adamwitwer;Boston; MA;42;7
469447;stallmer;Washington; DC;0;2
469451;wmichaelgreen;United States;1;4
469454;haidersabri;Silicon Valley; CA;11;10
469456;colstrom;Vancouver; BC;38;223
469459;miff;Nis; Serbia;2;9
469462;gaperton;Boston; MA;14;23
469480;nlts;Atlanta; GA;17;12
469483;ctaylor701;none;0;1
469488;adoehring;Wutschingen - Germany;0;0
469491;Nooba;Paris;0;3
469493;darinc;Buffalo; NY; USA;10;25
469495;enriquemgc;Barcelona; Spain;9;8
469505;johnwaldron;Vancouver; BC;0;3
469508;iskradelta;Sweden;1;7
469509;WouterVH;Gent - Belgium;7;23
469510;nahkala;Stockholm; Sweden;6;1
469515;ollieread;London;37;12
469516;camory;Paris;2;1
469522;ProgDan;So Paulo; Brazil;7;14
469523;samizdatco;Brooklyn; NY;120;4
469526;arnauldvm;Brussels; Belgium;1;12
469535;chrisfcarroll;Warrington; UK;3;30
469540;rvukovic;Netherlands;6;17
469544;sergio123cabral;Brasil;0;16
469547;DanielAscher;Austria;0;0
469551;zerongjiang;San Francisco;10;17
469552;nydi;Zrich; Switzerland;6;2
469555;jheidemann;United States;1;4
469556;doublexminus;Germany;0;2
469562;bordeauxhype;Bordeaux;2;0
469570;MishFdM;Italy;12;33
469571;fmeynard;London;1;16
469573;sojiadeyanju;London; UK;0;3
469577;hgad;Pittsburgh; PA;4;7
469582;claycephas;Denver; CO;11;24
469586;MattDusek;SF Bay Area; CA;0;0
469588;rollingthunder;Berlin; Germany;5;47
469592;trevorwhitney;Denver; CO;4;64
469597;alvhieyanth;tokyo;0;0
469599;MyBandStockRepo;Los Angeles; California; USA;0;1
469600;ssajms;Madison; WI;0;1
469604;mimecuvalo;teh interwebs;32;13
469609;thesmashing;Warsaw;0;4
469610;thiguchi;Shinagawa-ku; Tokyo; Japan;3;0
469611;maurilio;Viosa - MG; Brazil;0;0
469614;escortkeel;Canberra; Australia;16;32
469620;TheLeg;USA;0;0
469623;cswelin;Toronto Ontario;8;17
469637;alachaum;Sydney;4;40
469638;7CubedProject;Waterloo; Ontario;0;11
469639;hawstom;Gilbert; Arizona; USA;2;2
469647;achuinard;Chicago; IL;5;27
469652;jordao76;Montreal; Canada;3;10
469666;dolkensp;London; United Kingdom;1;34
469670;rdenaux;Madrid; Spain;0;5
469673;smithpg1002;Austin; TX;0;0
469680;walterjwhite;Pittsburgh; Pa;1;5
469690;gmacleod;Canada;6;13
469696;jacks0n;Brisbane; Australia;4;7
469704;mrj0;Simi Valley; CA;14;26
469707;marenostrum;Istanbul; Turkey;1;8
469721;charvey;Philadelphia; PA;1;10
469728;etotten;Chicago;0;2
469729;louisemcc;Wolverhampton;1;1
469737;markpjohnson;United States;0;9
469746;AllSeeingEye;Moscow; Russia;4;9
469748;hassaniftikhar;Lahore; Pakistan;3;7
469760;akil-rails;Mumbai;6;8
469769;SonicWizard;Roswell; GA;2;20
469776;ymkim50;Seoul;1;3
469781;irengklunteng;id;0;1
469783;komuniti-dun-behrang;DUN Behrang;0;0
469793;blyork;Illinois;3;19
469794;csz;jinan;0;4
469795;kutata;Guangzhou;5;6
469796;SylvainLasnier;France;0;18
469797;evershade;Vancouver; Canada;0;0
